k,n,p,nombre,longitud_esperada,prob_cobertura
20,1,0.01,asintotico_cuadratico,0.17334159694461385,0.981
20,1,0.01,asintotico_slutsky,0.03403782656491831,0.1705
20,1,0.01,bootstrap,0.0277,0.1705
20,1,0.01,clopper,0.18307940963664127,0.981
20,1,0.1,asintotico_cuadratico,0.2612769834279984,0.9575
20,1,0.1,asintotico_slutsky,0.23051305652245885,0.8665
20,1,0.1,bootstrap,0.21426874999999998,0.838
20,1,0.1,clopper,0.28961210316532665,0.99
20,1,0.5,asintotico_cuadratico,0.39282531171903584,0.9585
20,1,0.5,asintotico_slutsky,0.42701494330257933,0.9585
20,1,0.5,bootstrap,0.40819999999999995,0.8915
20,1,0.5,clopper,0.4461788919965699,0.9585
20,1,0.9,asintotico_cuadratico,0.26246241848213675,0.949
20,1,0.9,asintotico_slutsky,0.23202592588173,0.8645
20,1,0.9,bootstrap,0.216551875,0.8385
20,1,0.9,clopper,0.291043482408764,0.9885
20,1,0.99,asintotico_cuadratico,0.17370884756002256,0.983
20,1,0.99,asintotico_slutsky,0.03522501770954656,0.177
20,1,0.99,bootstrap,0.028476250000000005,0.177
20,1,0.99,clopper,0.18351341723256662,0.983
20,5,0.01,asintotico_cuadratico,0.0511696925760154,0.901
20,5,0.01,asintotico_slutsky,0.03017108441239834,0.629
20,5,0.01,bootstrap,0.0257575,0.6135
20,5,0.01,clopper,0.05247605243302905,0.981
20,5,0.1,asintotico_cuadratico,0.11787939065547322,0.9335
20,5,0.1,asintotico_slutsky,0.1161018206904991,0.93
20,5,0.1,bootstrap,0.11128512499999998,0.889
20,5,0.1,clopper,0.1258193399605995,0.95
20,5,0.5,asintotico_cuadratico,0.19132116778670766,0.9315
20,5,0.5,asintotico_slutsky,0.1949212051506079,0.9315
20,5,0.5,bootstrap,0.18654787499999997,0.9035
20,5,0.5,clopper,0.20230920410331268,0.9565
20,5,0.9,asintotico_cuadratico,0.11769140544298633,0.9345
20,5,0.9,asintotico_slutsky,0.11589890755291445,0.9365
20,5,0.9,bootstrap,0.11044299999999999,0.893
20,5,0.9,clopper,0.12562289009765587,0.9485
20,5,0.99,asintotico_cuadratico,0.051064040345539075,0.921
20,5,0.99,asintotico_slutsky,0.02995489690926286,0.624
20,5,0.99,bootstrap,0.025782000000000017,0.6115
20,5,0.99,clopper,0.05236284546156887,0.983
20,20,0.01,asintotico_cuadratico,0.020999421277659427,0.936
20,20,0.01,asintotico_slutsky,0.018686346916668463,0.903
20,20,0.01,bootstrap,0.017504218749999998,0.884
20,20,0.01,clopper,0.02202773950403098,0.966
20,20,0.1,asintotico_cuadratico,0.058906820744735515,0.935
